"txid","refid","time","type","subtype","aclass","asset","amount","fee","balance"
"LH6ZZQ-6T3YE-FX45C3","TUO6RG-2YEOW-HUBEBZ","2021-03-09 08:03:59","trade","","currency","ZEUR",-499.4582,1.2986,306.0206
"LIO7AP-ICNQV-AWERFP","TUO6RG-2YEOW-HUBEBZ","2021-03-09 08:03:59","trade","","currency","TRX",11286.68171558,0.00000000,11286.68171558

"","BU2WOCW-TAKWRI-NPGRSY","2022-04-02 19:38:18","withdrawal","","currency","TRX",-11286.68171500,0.00000000,""
"LQLYFZ-B53AF-BKCWOY","BU2WOCW-TAKWRI-NPGRSY","2022-04-02 19:39:55","transfer","spottostaking","currency","TRX",-11286.68171500,0.00000000,0.00000058
"","RU2HAZV-UZKGZM-K2VGQI","2022-04-02 19:41:06","deposit","","currency","TRX.S",11286.68171500,0.00000000,""
"LD432T-74Z5M-SCRE26","RU2HAZV-UZKGZM-K2VGQI","2022-04-02 19:41:44","transfer","stakingfromspot","currency","TRX.S",11286.68171500,0.00000000,11286.68171500

"","RU2INJM-D64GPM-4YHHWC","2022-04-05 02:01:35","deposit","","currency","TRX.S",4.89440700,0.00000000,""
"LYT5ZQ-GE2UQ-JBJMDX","ST2M32R-CYB3P-AHZI4E","2022-04-05 03:22:22","staking","","currency","TRX.S",4.89440700,0.00000000,11291.57612200
"","RU2OEVM-53FVDL-U42MYR","2022-04-12 02:00:27","deposit","","currency","TRX.S",12.98411000,0.00000000,""
"LTHAAJ-NS4SM-Q3HNNL","STYJTTB-XMPOQ-3NOVJJ","2022-04-12 02:09:24","staking","","currency","TRX.S",12.98411000,0.00000000,11304.56023200
"","RU2EDPJ-VFIROH-MNEGPV","2022-04-19 02:00:21","deposit","","currency","TRX.S",12.99907500,0.00000000,""
"L3S4JW-KV7SN-3C7YQW","STPNGIT-W5LKD-FGEFNB","2022-04-19 02:09:48","staking","","currency","TRX.S",12.99907500,0.00000000,11317.55930700
"","RU2YKWN-ENPD7V-24445M","2022-04-26 02:00:21","deposit","","currency","TRX.S",13.01402100,0.00000000,""
"LKW3TS-SRL3T-AQFW7R","ST5WIPU-UWSWC-SMKMYD","2022-04-26 02:09:10","staking","","currency","TRX.S",13.01402100,0.00000000,11330.57332800
"","RU2ZTSC-WI5BXB-LLG3GH","2022-05-03 02:00:22","deposit","","currency","TRX.S",13.02898700,0.00000000,""
"LLZ76U-SZPYK-XNJ5LO","STUSUOB-I2KNG-SNGJK3","2022-05-03 02:09:16","staking","","currency","TRX.S",13.02898700,0.00000000,11343.60231500
"","RU2HL7M-CDMZJF-ERMY7O","2022-05-10 02:00:25","deposit","","currency","TRX.S",13.04396900,0.00000000,""
"LXHPMY-ZKGAY-TZTFKL","STZYWKW-POBT3-GW5ZN2","2022-05-10 02:10:18","staking","","currency","TRX.S",13.04396900,0.00000000,11356.64628400
"","RU2NSOO-U746HR-R5L6YG","2022-05-17 02:00:35","deposit","","currency","TRX.S",13.05896700,0.00000000,""
"L2OHDP-IHYCU-FFRMS2","STH4ZIJ-WM76Z-VNNQJG","2022-05-17 02:10:50","staking","","currency","TRX.S",13.05896700,0.00000000,11369.70525100
"","RU2V5KE-2BIEIO-M4XXYR","2022-05-24 02:00:24","deposit","","currency","TRX.S",13.07398200,0.00000000,""
"LYKPPC-IWUTN-G3X2MJ","STMNNW5-CMLVV-LBQB7L","2022-05-24 02:10:36","staking","","currency","TRX.S",13.07398200,0.00000000,11382.77923300
"","RU22DI4-2XM52E-C6TVV5","2022-05-31 02:00:26","deposit","","currency","TRX.S",13.08901700,0.00000000,""
"LYYFKO-XKCSD-UEGTGS","STFTPUW-J7VVC-V3UU6Y","2022-05-31 02:11:53","staking","","currency","TRX.S",13.08901700,0.00000000,11395.86825000

"","BU3HP7C-4AQSGP-NPNBBB","2022-05-31 19:39:07","withdrawal","","currency","TRX.S",-11395.86825000,0.00000000,""
"LS5ENQ-5WEMT-GLNMV2","BU3HP7C-4AQSGP-NPNBBB","2022-05-31 19:40:51","transfer","stakingtospot","currency","TRX.S",-11395.86825000,0.00000000,0.00000000
"","RUZPX6Q-QE5IZI-DDHARS","2022-05-31 19:41:47","deposit","","currency","TRX",11395.86825000,0.00000000,""
"LXGDNA-B554S-BJRXYC","RUZPX6Q-QE5IZI-DDHARS","2022-05-31 19:42:30","transfer","spotfromstaking","currency","TRX",11395.86825000,0.00000000,11395.86825058

"LDSEZS-QPSEL-3X324Q","TXPDY2-BBWGM-GECRF2","2022-05-31 19:45:08","trade","","currency","TRX",-11395.86825000,0.00000000,0.00000058
"LXISHH-ZQIBU-6WXWX2","TXPDY2-BBWGM-GECRF2","2022-05-31 19:45:08","trade","","currency","ZEUR",855.5004,2.2243,1614.2274
"","RUZIGXQ-V52DAG-U2JEPT","2022-06-07 02:00:25","deposit","","currency","TRX",1.37909000,0.00000000,""
"LBEWM3-W6GWD-FBOECU","STPIP5I-QCH24-I25WEE","2022-06-07 02:02:34","staking","","currency","TRX",1.37909000,0.00000000,1.37909058
